,FA-DOMID,FA-PDBID,FA-PDBREG,FA-UNIID,FA-UNIREG,SF-DOMID,SF-PDBID,SF-PDBREG,SF-UNIID,SF-UNIREG,TP,CL,CF,SF,FA
0,8045703,3H8D,C:1143-1264,Q64331,1143-1264,8091604,3H8D,C:1143-1264,Q64331,1143-1264,1,1000003,2001470,3002524,4004627
1,8017835,3FKQ,A:1-116,D0VX10,1-116,8017836,3FKQ,A:1-116,D0VX10,1-116,1,1000002,2000016,3001156,4003986
2,8021315,1XHF,A:2-122,P0A9Q1,2-122,8033695,1XHF,A:2-122,P0A9Q1,2-122,1,1000002,2000016,3001156,4003632
3,8021787,1Y7P,B:79-215,O28869,79-215,8034167,1Y7P,B:79-215,O28869,79-215,1,1000002,2000016,3001156,4002481
4,8021931,1JBE,A:2-129,P0AE67,2-129,8034311,1JBE,A:2-129,P0AE67,2-129,1,1000002,2000016,3001156,4003632
5,8022184,1YIO,A:3-130,O30989,3-130,8034564,1YIO,A:3-130,O30989,3-130,1,1000002,2000016,3001156,4003632
6,8022194,1P2F,A:3-120,Q9WXY0,3-120,8034574,1P2F,A:3-120,Q9WXY0,3-120,1,1000002,2000016,3001156,4003632
7,8022532,1YS6,B:7-127,P9WGM1,7-127,8034912,1YS6,B:7-127,P9WGM1,7-127,1,1000002,2000016,3001156,4003632
8,8023273,1ZGZ,A:2-121,P38684,2-121,8035653,1ZGZ,A:2-121,P38684,2-121,1,1000002,2000016,3001156,4003632
9,8023280,1ZH2,A:2-120,P21866,2-120,8035660,1ZH2,A:2-120,P21866,2-120,1,1000002,2000016,3001156,4003632
10,8023314,1ZES,A:3-123,P0AFJ5,3-123,8035694,1ZES,A:3-123,P0AFJ5,3-123,1,1000002,2000016,3001156,4003632
11,8023408,2PL1,A:1-119,P23836,1-119,8035788,2PL1,A:1-119,P23836,1-119,1,1000002,2000016,3001156,4003632
12,8023786,1KRW,A:1-124,P41789,1-124,8036166,1KRW,A:1-124,P41789,1-124,1,1000002,2000016,3001156,4003632
13,8023805,1K66,A:2-149,Q8RTM8,2-149,8036185,1K66,A:2-149,Q8RTM8,2-149,1,1000002,2000016,3001156,4003632
14,8023808,1K68,A:10-148,Q8RTN0,9-147,8036188,1K68,A:10-148,Q8RTN0,9-147,1,1000002,2000016,3001156,4003632
15,8024166,2R25,B:1087-1214,P39928,1087-1214,8036545,2R25,B:1087-1214,P39928,1087-1214,1,1000002,2000016,3001156,4003632
16,8024398,2A9P,A:2-118,Q9S1K0,2-118,8036777,2A9P,A:2-118,Q9S1K0,2-118,1,1000002,2000016,3001156,4003632
17,8024696,1NY5,A:1-137,O67198,1-137,8037075,1NY5,A:1-137,O67198,1-137,1,1000002,2000016,3001156,4003632
18,8025118,2AYX,A:817-949,P0DMC5,817-949,8037497,2AYX,A:817-949,P0DMC5,817-949,1,1000002,2000016,3001156,4003632
19,8025122,2AYX,A:700-816,P0DMC5,700-816,8037501,2AYX,A:700-816,P0DMC5,700-816,1,1000002,2000016,3001156,4002478
20,8025234,2B4A,A:2-119,Q9K8I2,2-119,8037613,2B4A,A:2-119,Q9K8I2,2-119,1,1000002,2000016,3001156,4003632
21,8025680,1P6Q,A:1-129,Q52884,1-129,8038059,1P6Q,A:1-129,Q52884,1-129,1,1000002,2000016,3001156,4003632
22,8025734,1PEY,A:3-121,P06628,3-121,8038113,1PEY,A:3-121,P06628,3-121,1,1000002,2000016,3001156,4003632
23,8025851,1KGS,A:2-123,Q9WYN0,2-123,8038230,1KGS,A:2-123,Q9WYN0,2-123,1,1000002,2000016,3001156,4003632
24,8026410,1R8J,A:2-135,Q79PF6,2-135,8038789,1R8J,A:2-135,Q79PF6,2-135,1,1000002,2000016,3001156,4002938
25,8026920,1S8N,A:11-200,P9WGM3,11-200,8039299,1S8N,A:11-200,P9WGM3,11-200,1,1000002,2000016,3001156,4003632
26,8027136,1I3C,A:6-147,Q55169,6-147,8039515,1I3C,A:6-147,Q55169,6-147,1,1000002,2000016,3001156,4003632
27,8028257,1U0S,Y:2-119,Q56312,2-119,8040636,1U0S,Y:2-119,Q56312,2-119,1,1000002,2000016,3001156,4003632
28,8028706,2FKA,A:2-129,P0A2D5,2-129,8041085,2FKA,A:2-129,P0A2D5,2-129,1,1000002,2000016,3001156,4003632
29,8030843,1W25,A:2-140,B8GZM2,2-140,8043222,1W25,A:2-140,B8GZM2,2-140,1,1000002,2000016,3001156,4003632
30,8030845,1W25,A:141-293,B8GZM2,141-293,8043224,1W25,A:141-293,B8GZM2,141-293,1,1000002,2000016,3001156,4003632
31,8030924,1M5T,A:2-124,Q9A5I4,7-129,8043303,1M5T,A:2-124,Q9A5I4,7-129,1,1000002,2000016,3001156,4003632
32,8031442,1MVO,A:1-121,P13792,1-121,8043820,1MVO,A:1-121,P13792,1-121,1,1000002,2000016,3001156,4003632
33,8031657,1A04,A:5-142,P0AF28,5-142,8044035,1A04,A:5-142,P0AF28,5-142,1,1000002,2000016,3001156,4003632
34,8031661,1QKK,A:5-144,P13632,5-144,8044039,1QKK,A:5-144,P13632,5-144,1,1000002,2000016,3001156,4003632
35,8031663,1DBW,A:1-123,P10958,1-123,8044041,1DBW,A:1-123,P10958,1-123,1,1000002,2000016,3001156,4003632
36,8031664,1DZ3,A:2-124,P52934,2-124,8044042,1DZ3,A:2-124,P52934,2-124,1,1000002,2000016,3001156,4003632
37,8031670,1A2O,A:1-140,P04042,1-140,8044048,1A2O,A:1-140,P04042,1-140,1,1000002,2000016,3001156,4003632
38,8031671,1DCF,A:1-134,P49333,603-736,8044049,1DCF,A:1-134,P49333,603-736,1,1000002,2000016,3001156,4003632
39,8031672,1QO0,D:2-190,P10932,2-190,8044050,1QO0,D:2-190,P10932,2-190,1,1000002,2000016,3001156,4003653
40,8031727,1C4K,A:1-107,P43099,2-108,8044105,1C4K,A:1-107,P43099,2-108,1,1000002,2000016,3001156,4003685
41,8017851,3T6K,A:2-123,A9WCL5,2-123,8057732,3T6K,A:2-123,A9WCL5,2-123,1,1000002,2000016,3001156,4003632
42,8017852,4DN6,A:1-122,Q2T2Y8,1-122,8057733,4DN6,A:1-122,Q2T2Y8,1-122,1,1000002,2000016,3001156,4003986
43,8017853,4DAD,A:1-127,Q63I75,1-127,8057736,4DAD,A:1-127,Q63I75,1-127,1,1000002,2000016,3001156,4003986
44,8017854,4MYR,A:31-152,Q92YL8,31-152,8057737,4MYR,A:31-152,Q92YL8,31-152,1,1000002,2000016,3001156,4003986
45,8017855,4N0P,A:124-249,Q9A495,124-249,8057740,4N0P,A:124-249,Q9A495,124-249,1,1000002,2000016,3001156,4003986
46,8017856,4LDA,A:2-121,Q9HW97,2-121,8057741,4LDA,A:2-121,Q9HW97,2-121,1,1000002,2000016,3001156,4003986
47,8072779,2MSK,A:1-124,A0A0M3KKS6,1-124,8072780,2MSK,A:1-124,A0A0M3KKS6,1-124,1,1000002,2000016,3001156,4003632
48,8072781,6ER7,A:2-118,O58193,2-118,8072782,6ER7,A:2-118,O58193,2-118,1,1000002,2000016,3001156,4003632
49,8072783,3NHZ,B:5-120,P9WGM7,5-120,8072784,3NHZ,B:5-120,P9WGM7,5-120,1,1000002,2000016,3001156,4003632
50,8072785,5UHT,B:1-121,Q9WYT9,1-121,8072786,5UHT,B:1-121,Q9WYT9,1-121,1,1000002,2000016,3001156,4003632
51,8072787,3CFY,A:2-128,Q87PN2,2-128,8072788,3CFY,A:2-128,Q87PN2,2-128,1,1000002,2000016,3001156,4003632
52,8072789,2ZWM,A:1-120,P37478,2-121,8072790,2ZWM,A:1-120,P37478,2-121,1,1000002,2000016,3001156,4003632
53,8072791,3A0R,B:1-116,Q9X181,1-116,8072792,3A0R,B:1-116,Q9X181,1-116,1,1000002,2000016,3001156,4003632
54,8072793,3CU5,B:4-130,A9KIW7,2-128,8072794,3CU5,B:4-130,A9KIW7,2-128,1,1000002,2000016,3001156,4003632
55,8072795,4HNR,A:1-119,Q6BBK6,7-125,8072796,4HNR,A:1-119,Q6BBK6,7-125,1,1000002,2000016,3001156,4003632
56,8072797,3HZH,A:13-146,O51615,13-146,8072798,3HZH,A:13-146,O51615,13-146,1,1000002,2000016,3001156,4003632
57,8072799,4JP1,A:6-128,A0A0H3AMJ9,6-128,8072800,4JP1,A:6-128,A0A0H3AMJ9,6-128,1,1000002,2000016,3001156,4003632
58,8072801,3TO5,A:5-128,Q6BBK8,5-128,8072802,3TO5,A:5-128,Q6BBK8,5-128,1,1000002,2000016,3001156,4003632
59,8072803,3EOD,A:3-125,P0AEV1,3-125,8072804,3EOD,A:3-125,P0AEV1,3-125,1,1000002,2000016,3001156,4003632
