,target,Method,GDT_TS Pearson,GDT_TS Spearman,GDT_TS Loss,GDT_TS MAE,Domain_num,seq_len,identity_dist_category,identity_quality_category,positive_dist_category,positive_quality_category,coverage_dist_category
0,1FHU_A,identity(%),0.8553935981979702,-0.15173169852025217,0.8220000000000005,0.30097500000000005,2,320,top,High,top,High,the others
1,1FHU_A,positive(%),0.8519020719215455,-0.010968217367874289,0.8220000000000005,0.15426324626865673,2,320,top,High,top,High,the others
2,1FHU_A,coverage(%),0.6317572885483332,0.6834326667866754,0.8220000000000005,0.3825371268656716,2,320,top,High,top,High,the others
3,1FHU_A,DOPE,0.9113622715255065,0.6783899938479198,0.17000000000000348,,2,320,top,High,top,High,the others
4,1FHU_A,SOAP,0.786965600176073,0.41277711233978354,0.0,,2,320,top,High,top,High,the others
5,1FHU_A,ProQ3D,0.8839362428713543,0.7514383995057788,0.17000000000000348,0.03859285074626866,2,320,top,High,top,High,the others
6,1FHU_A,SBROD,0.9048718490990131,0.7308930677949751,0.17000000000000348,,2,320,top,High,top,High,the others
7,1FHU_A,DeepAccNet,0.9251772393713641,0.6175754646101392,2.180000000000004,0.18925533902751868,2,320,top,High,top,High,the others
8,1FHU_A,DeepAccNet-Bert,0.9527433700166344,0.79359727106518,0.17000000000000348,0.09280248367537314,2,320,top,High,top,High,the others
9,1FHU_A,P3CMQA,0.8898106274338685,0.6611965589347999,0.8399999999999963,0.057665164583476626,2,320,top,High,top,High,the others
10,1GU7_A,identity(%),0.9552996604857182,0.6238175379621996,2.742,0.24775070805483174,2,364,the others,Low,the others,Low,the others
11,1GU7_A,positive(%),0.9635391562755422,0.568866987586151,2.742,0.1025994675427665,2,364,the others,Low,the others,Low,the others
12,1GU7_A,coverage(%),0.2761227009076732,0.31268423602323475,1.6100000000000003,0.42495802650957293,2,364,the others,Low,the others,Low,the others
13,1GU7_A,DOPE,0.7779733681732232,0.6556790681113377,0.20000000000001128,,2,364,the others,Low,the others,Low,the others
14,1GU7_A,SOAP,0.8906374936732067,0.8459467234010571,2.880000000000005,,2,364,the others,Low,the others,Low,the others
15,1GU7_A,ProQ3D,0.9117786677920524,0.8004379301241651,2.880000000000005,0.052411051546391745,2,364,the others,Low,the others,Low,the others
16,1GU7_A,SBROD,0.9189929126220875,0.5936132539601191,0.0,,2,364,the others,Low,the others,Low,the others
17,1GU7_A,DeepAccNet,0.979628381277373,0.8804960743666375,2.880000000000005,0.15682548727448453,2,364,the others,Low,the others,Low,the others
18,1GU7_A,DeepAccNet-Bert,0.9650907123478427,0.7248803206164445,2.740000000000009,0.08513875241623711,2,364,the others,Low,the others,Low,the others
19,1GU7_A,P3CMQA,0.9554703634582183,0.847209212681387,0.41000000000001036,0.06479057486081861,2,364,the others,Low,the others,Low,the others
20,1HM9_B,identity(%),0.4430757865938491,0.42836509514466353,23.74799999999999,0.35969735042735046,2,468,the others,Low,the others,Middle,the others
21,1HM9_B,positive(%),0.22101947902473879,-0.0675653665161047,23.873,0.17102213675213676,2,468,the others,Low,the others,Middle,the others
22,1HM9_B,coverage(%),0.3580478576368111,0.49813420018765,8.323333333333316,0.20077273504273507,2,468,the others,Low,the others,Middle,the others
23,1HM9_B,DOPE,0.5002205049397501,0.4885070705351844,9.17,,2,468,the others,Low,the others,Middle,the others
24,1HM9_B,SOAP,0.23377715705317453,0.27401683168775887,9.17,,2,468,the others,Low,the others,Middle,the others
25,1HM9_B,ProQ3D,0.37954911905675465,0.4278625453558504,0.0,0.06638942,2,468,the others,Low,the others,Middle,the others
26,1HM9_B,SBROD,0.5463565607311214,0.5285618660938556,5.079999999999996,,2,468,the others,Low,the others,Middle,the others
27,1HM9_B,DeepAccNet,0.49404278880931213,0.40454426666773746,2.4599999999999955,0.1909073697916667,2,468,the others,Low,the others,Middle,the others
